CID,Canonical_SMILES
115,C1C(C(C(C(O1)OP(=O)(O)O)O)O)N
116,C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O
117,C1=NC(=C(N1)C(=O)O)N
118,C(CC=O)CN
119,C(CC(=O)O)CN
120,C1=CC(=O)OC1=CC(=O)O
121,CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O
122,C(C(=O)CC(=O)O)C(=O)C=CC(=O)O
123,C(CC(=O)N)CN=C(N)N
124,CC(CC(=O)C(=O)O)O
125,C1=CC(=CC=C1CO)O
126,C1=CC(=CC=C1C=O)O
127,C1=CC(=CC=C1CC(=O)O)O
128,C1=NC(C(=O)N1)CCC(=O)O
129,CC(C)CCC=O
130,C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O
131,CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O
132,CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O
133,C[N+](C)(C)CCCC=O
134,C[N+](C)(C)CCCC(=O)O
135,C1=CC(=CC=C1C(=O)O)O
136,C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
137,C(CC(=O)O)C(=O)CN
138,C(CCN)CC(=O)O
139,CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
140,CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO
141,C1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O
142,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
143,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
144,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
145,C(C(C(C(=O)O)O)O)C(=O)C(=O)O
146,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
147,CNCC1=CN(C(=NC1=O)[SeH])C2C(C(C(O2)CO)O)O
148,CNCC1=CN(C(=NC1=O)S)C2C(C(C(O2)CO)O)O
149,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
150,C(C1C(C(C(O1)N)O)O)OP(=O)(O)O
151,C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)(O)O
152,C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O
153,C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N
154,C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O
155,C1=NC(=C(N1)C(=O)O)NC(=O)N
156,C1CNC2=NC=NC=C2N1
157,C(C(=O)C(C(C(C(=O)O)O)O)O)O
158,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
159,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O
160,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O
161,C1C(=NC2C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
162,CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C
163,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O
164,C(CC(=O)C=[N+]=[N-])C(C(=O)O)N
165,C(CC(=C[N+]#N)O)C(C(=O)O)N
166,CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N
167,C1CN=C2C(=N1)C=NC=N2
168,C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O
169,CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
170,C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)O
171,C1=C(C2=C(N1)NC(=NC2=O)N)CN
172,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
173,CC(C(=O)CCCCCC(=O)O)N
174,C(CO)O
175,CC(=O)[O-]
176,CC(=O)O
177,CC=O
178,CC(=O)N
179,CC(C(=O)C)O
180,CC(=O)C
181,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
182,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C
183,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)NC(=O)C)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C
184,CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)O)N)CO)O)O
185,CC(=O)NC(CCC(=O)O)C(=O)O
186,CC(=O)OP(=O)(O)O
187,CC(=O)OCC[N+](C)(C)C
188,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O
189,CC(=O)OCC(C(=O)O)N
190,C1=NC2=NC=NC(=C2N1)N
191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
192,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N
193,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
194,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N
195,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O
196,C(CCC(=O)O)CC(=O)O
197,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N
198,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N
199,C(CCN=C(N)N)CN
200,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N
201,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C
202,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C
203,C(C(=O)O)(NC(=O)N)NC(=O)N
204,C1(C(=O)NC(=O)N1)NC(=O)N
205,CC(C(C(=O)O)N)O
206,C(C1C(C(C(C(O1)O)O)O)O)O
207,C(CC=O)CC(C(=O)O)N
208,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
209,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OC2C(C(OC(C2O)OC3C(OC(C(C3O)NC(=O)C)OC4C(OC(C(C4O)NC(=O)C)NC(=O)CC(C(=O)N)NC(=O)C)CO)CO)CO)O)O
210,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OCC2C(C(C(C(O2)OC3C(OC(C(C3O)NC(=O)C)O)CO)O)O)O)O
211,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O
212,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O
213,CCCCCC(C=CC1C(C2CC(O2)O1)CC=CCCCC(=O)O)O
214,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
215,CC(=O)CN
216,CC1=NC=C(C(=N1)N)COP(=O)(O)O
217,CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O
218,C1C(=NC2=C(N1)NC(=NC2=O)N)CO
219,CC(=O)C(C(=O)O)N
220,CCOP(=S)(OCC)OC1=CC=C(C=C1)N
221,C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N
222,N
223,[NH4+]
224,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
225,CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O
226,C(N)(O)P
227,C1=CC=C(C(=C1)C(=O)O)N
228,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N
229,C1C(C(C(C(O1)O)O)O)O
230,C(C(C(C(C=O)O)O)O)OP(=O)(O)O
231,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
232,C(CC(C(=O)O)N)CN=C(N)N
233,O[As](=O)([O-])[O-]
234,O[As](=O)(O)O
235,C(C(C1C(=O)C(=C(O1)O)O)O)O
236,C(C(C(=O)O)N)C(=O)N
237,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
238,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
239,C(CN)C(=O)O
240,C1=CC=C(C=C1)C=O
241,C1=CC=CC=C1
242,C1=CC=C(C=C1)C(=O)[O-]
243,C1=CC=C(C=C1)C(=O)O
244,C1=CC=C(C=C1)CO
245,CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O
246,CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OS(=O)(=O)O
247,C[N+](C)(C)CC(=O)[O-]
248,C[N+](C)(C)CC(=O)O
249,C[N+](C)(C)CC=O
250,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C
251,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O
252,CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O
253,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
254,C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O
255,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]
256,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OCC2C(C(C(C(O2)OP(=O)(O)O)NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O
257,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O
258,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N
259,[Br-]
260,Br
261,CCCC=O
262,CC(C(C)O)O
263,CCCCO
264,CCCC(=O)O
265,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
266,CCCC(=O)OP(=O)(O)O
267,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
268,CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
269,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
270,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
271,[Ca+2]
272,[CaH2]
273,C(CCN)CCN
274,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
275,C(CON=C(N)N)C(C(=O)O)N
276,C(=O)(N)[O-]
277,C(=O)(N)O
278,C(=O)(N)OP(=O)(O)O
279,C(C(C(=O)O)NC(=O)N)C(=O)O
280,C(=O)=O
281,[C-]#[O+]
282,C1=CC(C(C(=C1)CCC(=O)O)O)O
283,C(=O)[O-]
284,C(=O)O
285,C(C(=O)[O-])ON
286,C(C(=O)O)ON
287,C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O
288,C[N+](C)(C)CC(CC(=O)[O-])O
289,C1=CC=C(C(=C1)O)O
290,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
291,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O
292,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
293,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O
294,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
295,C1C2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O
296,CC(C=O)C(=O)O
297,C
298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
299,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
300,C(C(=O)O)Cl
301,C1=CC(=C(C=C1O)Cl)O
302,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C
303,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
304,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
305,C[N+](C)(C)CCO
306,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O
307,C1=CC=C(C=C1)C=CC=O
308,C1=CC=C(C=C1)C=CCO
309,C(C(=CC(=O)O)C(=O)O)C(=O)O
310,C(=CC(=O)O)C=CC(=O)O
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
312,[Cl-]
313,Cl
314,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O
315,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OCC(C(C(C(CC(=O)C(=O)O)O)O)O)O)O)O
316,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O
317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
318,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N.[Co]
319,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N
320,C1C(C2=C(NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)O
321,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C
322,C1=CC(=CC=C1C=CC(=O)O)O
323,C1=CC=C2C(=C1)C=CC(=O)O2
324,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O
325,CC(C)C1=CC=C(C=C1)CO
326,CC(C)C1=CC=C(C=C1)C=O
327,C1=C(NC2=C1C(=O)C(=C3C2=C(C=C(N3)C(=O)O)C(=O)O)O)C(=O)O
328,C1=CC(=CC=C1C(C(=O)O)O)O
329,CSCC(C(C(=O)COP(=O)(O)O)O)O
330,CC(C)CCCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C
331,CC(CC(CC(=O)O)N)N
332,COC1=C(C=CC(=C1)C=C)O
333,C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N
334,CC(C)CCCC(C)C1CCC2C1(CCC3C2C(CC4=CC(=O)CCC34C)O)C
335,CC1=CC=CC=C1O
336,C(C(=O)O)(NC(=O)N)O
337,CC(=O)C(C(CO)O)O
338,C1=CC=C(C(=C1)C(=O)O)O
339,C(CP(=O)(O)O)N
340,CC1=C(C(=CC=C1)O)O
341,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O
342,CC1=CC(=CC=C1)O
343,C1(C(C(C2C(C1O)OP(=O)(O2)O)O)O)O
344,C1C(C(C(C(=O)C1=O)O)O)O
345,CC(=C(CC(=O)O)C(=O)O)C(=O)O
346,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
347,C1=CC(=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CO
348,C1=CC(=CC=C1O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O
349,C(C1C(C(=O)C(C(O1)O)O)O)O
